"publisher.","l0","n"
"AAAI","Asian",349
"AAAI","GreaterAfrican",91
"AAAI","GreaterEuropean",817
"AAAI Press","Asian",7336
"AAAI Press","GreaterAfrican",946
"AAAI Press","GreaterEuropean",8248
"AAAI Press / The MIT Press","Asian",662
"AAAI Press / The MIT Press","GreaterAfrican",109
"AAAI Press / The MIT Press","GreaterEuropean",1739
"ACL","Asian",298
"ACL","GreaterAfrican",34
"ACL","GreaterEuropean",462
"ACM","Asian",59061
"ACM","GreaterAfrican",10776
"ACM","GreaterEuropean",82897
"ACM Press","Asian",111
"ACM Press","GreaterAfrican",36
"ACM Press","GreaterEuropean",217
"ACM/SIAM","Asian",352
"ACM/SIAM","GreaterAfrican",95
"ACM/SIAM","GreaterEuropean",804
"Australian Computer Society","Asian",16
"Australian Computer Society","GreaterAfrican",8
"Australian Computer Society","GreaterEuropean",79
"CEUR-WS.org","Asian",476
"CEUR-WS.org","GreaterAfrican",237
"CEUR-WS.org","GreaterEuropean",1978
"CNRS, Toulose, France","Asian",6
"CNRS, Toulose, France","GreaterAfrican",2
"CNRS, Toulose, France","GreaterEuropean",12
"CWI/ACM","Asian",42
"CWI/ACM","GreaterAfrican",8
"CWI/ACM","GreaterEuropean",57
"EasyChair","Asian",36
"EasyChair","GreaterAfrican",31
"EasyChair","GreaterEuropean",271
"icml.cc / Omnipress","Asian",275
"icml.cc / Omnipress","GreaterAfrican",49
"icml.cc / Omnipress","GreaterEuropean",379
"IEEE","Asian",13336
"IEEE","GreaterAfrican",1656
"IEEE","GreaterEuropean",7598
"IEEE/ACM","Asian",24
"IEEE/ACM","GreaterAfrican",15
"IEEE/ACM","GreaterEuropean",87
"IEEE Computer Society","Asian",30943
"IEEE Computer Society","GreaterAfrican",6008
"IEEE Computer Society","GreaterEuropean",39455
"IEEE Copmuter Society","Asian",1
"IEEE Copmuter Society","GreaterAfrican",2
"IEEE Copmuter Society","GreaterEuropean",18
"IFIP","Asian",3
"IFIP","GreaterAfrican",1
"IFIP","GreaterEuropean",33
"IJCAI/AAAI","Asian",1186
"IJCAI/AAAI","GreaterAfrican",160
"IJCAI/AAAI","GreaterEuropean",1528
"IJCAI/AAAI Press","Asian",1230
"IJCAI/AAAI Press","GreaterAfrican",138
"IJCAI/AAAI Press","GreaterEuropean",845
"International World Wide Web Conferences Steering Committee / ACM","Asian",597
"International World Wide Web Conferences Steering Committee / ACM","GreaterAfrican",104
"International World Wide Web Conferences Steering Committee / ACM","GreaterEuropean",787
"JMLR.org","Asian",1952
"JMLR.org","GreaterAfrican",362
"JMLR.org","GreaterEuropean",2310
"Matfyzpress","Asian",1
"Matfyzpress","GreaterAfrican",5
"Matfyzpress","GreaterEuropean",11
"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy","Asian",20
"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy","GreaterAfrican",3
"Matfyz Press, Vydavatelstvi, Matematicko-Fyzikalni Fakulty, Unverzity Karlovy","GreaterEuropean",49
"Morgan Kaufmann","Asian",1128
"Morgan Kaufmann","GreaterAfrican",251
"Morgan Kaufmann","GreaterEuropean",2215
"Morgan Kaufmann Publishers","Asian",28
"Morgan Kaufmann Publishers","GreaterAfrican",9
"Morgan Kaufmann Publishers","GreaterEuropean",143
"\N","Asian",1479
"\N","GreaterAfrican",282
"\N","GreaterEuropean",2599
"Omnipress","Asian",418
"Omnipress","GreaterAfrican",59
"Omnipress","GreaterEuropean",640
"OpenProceedings.org","Asian",372
"OpenProceedings.org","GreaterAfrican",123
"OpenProceedings.org","GreaterEuropean",521
"Professional Book Center","Asian",193
"Professional Book Center","GreaterAfrican",61
"Professional Book Center","GreaterEuropean",650
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik","Asian",971
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik","GreaterAfrican",273
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik","GreaterEuropean",2607
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany","Asian",48
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany","GreaterAfrican",20
"Schloss Dagstuhl - Leibniz-Zentrum fuer Informatik, Germany","GreaterEuropean",218
"SIAM","Asian",1323
"SIAM","GreaterAfrican",428
"SIAM","GreaterEuropean",2694
"Slovak University of Technology, Bratislava","Asian",11
"Slovak University of Technology, Bratislava","GreaterEuropean",39
"Springer","Asian",15174
"Springer","GreaterAfrican",3743
"Springer","GreaterEuropean",32055
"Tampere University of Technology. Pori. Publication","Asian",2
"Tampere University of Technology. Pori. Publication","GreaterAfrican",5
"Tampere University of Technology. Pori. Publication","GreaterEuropean",33
"The Association for Computational Linguistics","Asian",210
"The Association for Computational Linguistics","GreaterAfrican",24
"The Association for Computational Linguistics","GreaterEuropean",285
"The Association for Computer Linguistics","Asian",4368
"The Association for Computer Linguistics","GreaterAfrican",583
"The Association for Computer Linguistics","GreaterEuropean",4701
"University of Alberta","Asian",58
"University of Alberta","GreaterAfrican",11
"University of Alberta","GreaterEuropean",34
"University of Magdeburg","Asian",3
"University of Magdeburg","GreaterAfrican",3
"University of Magdeburg","GreaterEuropean",23
"USENIX","Asian",137
"USENIX","GreaterAfrican",35
"USENIX","GreaterEuropean",256
"USENIX Association","Asian",1467
"USENIX Association","GreaterAfrican",195
"USENIX Association","GreaterEuropean",1776
"VLDB Endowment","Asian",5
"VLDB Endowment","GreaterAfrican",3
"VLDB Endowment","GreaterEuropean",17
